,Country,Gold,Silver,Bronze,Total,Population,GDP per Capita
81,United States,145.0,125.0,105.0,375.0,321418820.0,56115.7184261955
80,United Kingdom,26.0,41.0,30.0,97.0,65138232.0,43875.9696143686
43,Kenya,23.0,30.0,25.0,78.0,46050302.0,1376.71282894881
62,Russia,22.0,20.0,24.0,66.0,144096812.0,9092.58053606884
2,Australia,17.0,21.0,21.0,59.0,23781169.0,56310.9629933721
40,Jamaica,13.0,24.0,14.0,51.0,2725941.0,5232.02458271187
28,Ethiopia,21.0,8.0,16.0,45.0,99390750.0,619.169406475891
39,Italy,14.0,11.0,17.0,42.0,60802085.0,29957.8043154372
57,Poland,20.0,12.0,10.0,42.0,37999494.0,12554.5475536313
31,Germany,10.0,12.0,16.0,38.0,81413145.0,41313.3139945434
61,Romania,11.0,14.0,10.0,35.0,19832389.0,8972.92251840971
29,Finland,12.0,9.0,11.0,32.0,5482013.0,42311.0362306446
30,France,11.0,10.0,9.0,30.0,66808385.0,36205.5681017036
70,Sweden,11.0,7.0,12.0,30.0,9798871.0,50579.6736486777
35,Hungary,8.0,8.0,11.0,27.0,9844686.0,12363.5434596539
16,China,6.0,7.0,11.0,24.0,1371220000.0,8027.68381013907
7,Belarus,4.0,6.0,9.0,19.0,9513000.0,5740.45649479562
49,Morocco,6.0,5.0,8.0,19.0,34377511.0,2878.20134215919
11,Bulgaria,5.0,7.0,6.0,18.0,7177991.0,6993.47735975728
53,New Zealand,9.0,2.0,7.0,18.0,4595700.0,37807.9672760442
79,Ukraine,3.0,2.0,11.0,16.0,45198200.0,2114.95471628444
32,Greece,4.0,6.0,3.0,13.0,10823732.0,18002.2305776688
66,South Africa,2.0,8.0,3.0,13.0,54956920.0,5723.97335690212
10,Brazil,4.0,2.0,6.0,12.0,207847528.0,8538.5899749574
14,Canada,2.0,3.0,7.0,12.0,35851774.0,43248.529909341
55,Norway,5.0,4.0,3.0,12.0,5195921.0,74400.3697770928
21,Czech Republic,5.0,1.0,5.0,11.0,10551219.0,17548.3382129701
67,Spain,2.0,4.0,5.0,11.0,46418269.0,25831.5823052954
8,Belgium,3.0,5.0,2.0,10.0,11285721.0,40324.0277657215
