Country Name,Athlete,Gender,Event,Medal
Sweden,"ALBERTSSON, Bertil",Men,10000M,Bronze
Czechoslovakia- Prior 1992,"ZATOPEK, Emil",Men,10000M,Gold
France,"MIMOUN, Alain",Men,10000M,Silver
Switzerland,"SCHWAB, Erich Arthur Fritz",Men,10000M Walk,Bronze
Sweden,"MIKAELSSON, John",Men,10000M Walk,Gold
Sweden,"JOHANSSON, Ingemar",Men,10000M Walk,Silver
Panama,"LABEACH, Lloyd",Men,100M,Bronze
United States,"DILLARD, Harrison",Men,100M,Gold
United States,"EWELL, Harold Norwood",Men,100M,Silver
Australia,"STRICKLAND-DE LA HUNTY, Shirley",Women,100M,Bronze
Netherlands,"BLANKERS-KOEN, Fanny",Women,100M,Gold
United Kingdom,"MANLEY, Dorothy Gladys",Women,100M,Silver
United States,"DIXON, Craig",Men,110M Hurdles,Bronze
United States,"PORTER, William Franklin III",Men,110M Hurdles,Gold
United States,"SCOTT, Clyde",Men,110M Hurdles,Silver
Netherlands,"SLIJKHUIS, Willem",Men,1500M,Bronze
Sweden,"ERIKSSON, Henry",Men,1500M,Gold
Sweden,"STRAND, Lennart",Men,1500M,Silver
Panama,"LABEACH, Lloyd",Men,200M,Bronze
United States,"PATTON, Melvin Emery",Men,200M,Gold
United States,"EWELL, Harold Norwood",Men,200M,Silver
United States,"PATTERSON, Audrey Mickey",Women,200M,Bronze
Netherlands,"BLANKERS-KOEN, Fanny",Women,200M,Gold
United Kingdom,"WILLIAMSON, Audrey Doreen Swayne",Women,200M,Silver
Sweden,"HAGSTRÖM, Göte",Men,3000M Steeplechase,Bronze
Sweden,"SJÖSTRAND, Tore",Men,3000M Steeplechase,Gold
Sweden,"ELMSATER, Erik",Men,3000M Steeplechase,Silver
United States,"WHITFIELD, Malvin Groston",Men,400M,Bronze
Jamaica,"WINT, Arthur",Men,400M,Gold
Jamaica,"MCKENLEY, Herbert",Men,400M,Silver
Sweden,"LARSSON, Rune",Men,400M Hurdles,Bronze
United States,"COCHRAN, Roy Braxton",Men,400M Hurdles,Gold
Sri Lanka,"WHITE, Duncan",Men,400M Hurdles,Silver
Netherlands,"SLIJKHUIS, Willem",Men,5000M,Bronze
Belgium,"REIFF, Gaston Etienne",Men,5000M,Gold
Czechoslovakia- Prior 1992,"ZATOPEK, Emil",Men,5000M,Silver
United Kingdom,"JOHNSON, Terence Lloyd",Men,50KM Walk,Bronze
Sweden,"LJUNGGREN, John Artur",Men,50KM Walk,Gold
Switzerland,"GODEL, Gaston",Men,50KM Walk,Silver
France,"HANSENNE, Marcel",Men,800M,Bronze
United States,"WHITFIELD, Malvin Groston",Men,800M,Gold
Jamaica,"WINT, Arthur",Men,800M,Silver
Australia,"STRICKLAND-DE LA HUNTY, Shirley",Women,80M Hurdles,Bronze
Netherlands,"BLANKERS-KOEN, Fanny",Women,80M Hurdles,Gold
United Kingdom,"GARDNER, Maureen Angela Jane",Women,80M Hurdles,Silver
United States,"SIMMONS, Floyd Macon Jr.",Men,Decathlon,Bronze
United States,"MATHIAS, Robert",Men,Decathlon,Gold
