Year,City,Sport,Discipline,Athlete,Country,Gender,Event,Medal
1948,St.Moritz,Skating,Speed skating,"LAMMIO, Pentti",FIN,Men,10000M,Bronze
1948,St.Moritz,Skating,Speed skating,"SEYFFARTH, Ake",SWE,Men,10000M,Gold
1948,St.Moritz,Skating,Speed skating,"PARKKINEN, Lauri",FIN,Men,10000M,Silver
1948,St.Moritz,Skating,Speed skating,"LUNDBERG, Odd",NOR,Men,1500M,Bronze
1948,St.Moritz,Skating,Speed skating,"FARSTAD, Sverre",NOR,Men,1500M,Gold
1948,St.Moritz,Skating,Speed skating,"SEYFFARTH, Ake",SWE,Men,1500M,Silver
1948,St.Moritz,Skating,Speed skating,"HEDLUND, Göthe",SWE,Men,5000M,Bronze
1948,St.Moritz,Skating,Speed skating,"LIAKLEV, Reidar",NOR,Men,5000M,Gold
1948,St.Moritz,Skating,Speed skating,"LUNDBERG, Odd",NOR,Men,5000M,Silver
1948,St.Moritz,Skating,Speed skating,"HELGESEN, Finn",NOR,Men,500M,Gold
1948,St.Moritz,Skating,Speed skating,"BYBERG, Thomas",NOR,Men,500M,Silver
1948,St.Moritz,Skating,Speed skating,"BARTHELOMEW, Kenneth",USA,Men,500M,Silver
1948,St.Moritz,Skating,Speed skating,"FITZGERALD, Robert",USA,Men,500M,Silver
1952,Oslo,Skating,Speed skating,"ASPLUND, Carl-Erik",SWE,Men,10000M,Bronze
1952,Oslo,Skating,Speed skating,"ANDERSEN, Hjalmar",NOR,Men,10000M,Gold
1952,Oslo,Skating,Speed skating,"BROEKMAN, Cornelis",NED,Men,10000M,Silver
1952,Oslo,Skating,Speed skating,"AAS, Roald",NOR,Men,1500M,Bronze
1952,Oslo,Skating,Speed skating,"ANDERSEN, Hjalmar",NOR,Men,1500M,Gold
1952,Oslo,Skating,Speed skating,"VAN DER VOORT, Willem",NED,Men,1500M,Silver
1952,Oslo,Skating,Speed skating,"HAUGLI, Sverre",NOR,Men,5000M,Bronze
1952,Oslo,Skating,Speed skating,"ANDERSEN, Hjalmar",NOR,Men,5000M,Gold
1952,Oslo,Skating,Speed skating,"BROEKMAN, Cornelis",NED,Men,5000M,Silver
1952,Oslo,Skating,Speed skating,"AUDLEY, Gordon",CAN,Men,500M,Bronze
1952,Oslo,Skating,Speed skating,"JOHANSEN, Arne",NOR,Men,500M,Bronze
1952,Oslo,Skating,Speed skating,"HENRY, Kenneth",USA,Men,500M,Gold
1952,Oslo,Skating,Speed skating,"MCDERMOTT, Donald",USA,Men,500M,Silver
1956,Cortina d'Ampezzo,Skating,Speed skating,"GONCHARENKO, Oleg",URS,Men,10000M,Bronze
1956,Cortina d'Ampezzo,Skating,Speed skating,"ERICSSON, Sigvard",SWE,Men,10000M,Gold
1956,Cortina d'Ampezzo,Skating,Speed skating,"JOHANNESEN, Knut",NOR,Men,10000M,Silver
1956,Cortina d'Ampezzo,Skating,Speed skating,"SALONEN, Toivo",FIN,Men,1500M,Bronze
1956,Cortina d'Ampezzo,Skating,Speed skating,"GRISHIN, Yevgeny",URS,Men,1500M,Gold
1956,Cortina d'Ampezzo,Skating,Speed skating,"MIKHAILOV, Yury",URS,Men,1500M,Gold
1956,Cortina d'Ampezzo,Skating,Speed skating,"GONCHARENKO, Oleg",URS,Men,5000M,Bronze
1956,Cortina d'Ampezzo,Skating,Speed skating,"SHILKOV, Boris",URS,Men,5000M,Gold
1956,Cortina d'Ampezzo,Skating,Speed skating,"ERICSSON, Sigvard",SWE,Men,5000M,Silver
1956,Cortina d'Ampezzo,Skating,Speed skating,"GJESTVANG, Alv",NOR,Men,500M,Bronze
1956,Cortina d'Ampezzo,Skating,Speed skating,"GRISHIN, Yevgeny",URS,Men,500M,Gold
1956,Cortina d'Ampezzo,Skating,Speed skating,"GRACH, Rafael",URS,Men,500M,Silver
1960,Squaw Valley,Skating,Speed skating,"BÄCKMAN, Kjell",SWE,Men,10000M,Bronze
1960,Squaw Valley,Skating,Speed skating,"JOHANNESEN, Knut",NOR,Men,10000M,Gold
1960,Squaw Valley,Skating,Speed skating,"KOSICHKIN, Viktor",URS,Men,10000M,Silver
1960,Squaw Valley,Skating,Speed skating,"RYLOVA, Tamara",URS,Women,1000M,Bronze
1960,Squaw Valley,Skating,Speed skating,"GUSEVA, Klara",URS,Women,1000M,Gold
1960,Squaw Valley,Skating,Speed skating,"HAASE, Helga",EUA,Women,1000M,Silver
1960,Squaw Valley,Skating,Speed skating,"STENIN, Boris",URS,Men,1500M,Bronze
1960,Squaw Valley,Skating,Speed skating,"AAS, Roald",NOR,Men,1500M,Gold
1960,Squaw Valley,Skating,Speed skating,"GRISHIN, Yevgeny",URS,Men,1500M,Gold
1960,Squaw Valley,Skating,Speed skating,"PILEJCZYK, Helena",POL,Women,1500M,Bronze
1960,Squaw Valley,Skating,Speed skating,"SKOBLIKOVA, Lidiya",URS,Women,1500M,Gold
1960,Squaw Valley,Skating,Speed skating,"SEROCZYNSKA, Elwira",POL,Women,1500M,Silver
1960,Squaw Valley,Skating,Speed skating,"HUTTUNEN, Eevi",FIN,Women,3000M,Bronze
1960,Squaw Valley,Skating,Speed skating,"SKOBLIKOVA, Lidiya",URS,Women,3000M,Gold
1960,Squaw Valley,Skating,Speed skating,"STENINA, Valentina",URS,Women,3000M,Silver
1960,Squaw Valley,Skating,Speed skating,"PESMAN, Janis",NED,Men,5000M,Bronze
1960,Squaw Valley,Skating,Speed skating,"KOSICHKIN, Viktor",URS,Men,5000M,Gold
1960,Squaw Valley,Skating,Speed skating,"JOHANNESEN, Knut",NOR,Men,5000M,Silver
1960,Squaw Valley,Skating,Speed skating,"GRACH, Rafael",URS,Men,500M,Bronze
1960,Squaw Valley,Skating,Speed skating,"GRISHIN, Yevgeny",URS,Men,500M,Gold
1960,Squaw Valley,Skating,Speed skating,"DISNEY, William",USA,Men,500M,Silver
1960,Squaw Valley,Skating,Speed skating,"ASHWORTH, Jeanne",USA,Women,500M,Bronze
1960,Squaw Valley,Skating,Speed skating,"HAASE, Helga",EUA,Women,500M,Gold
1960,Squaw Valley,Skating,Speed skating,"DONCHENKO, Natalya",URS,Women,500M,Silver
1964,Innsbruck,Skating,Speed skating,"JOHANNESEN, Knut",NOR,Men,10000M,Bronze
1964,Innsbruck,Skating,Speed skating,"NILSSON, Jonny",SWE,Men,10000M,Gold
1964,Innsbruck,Skating,Speed skating,"MAIER, Fred Anton",NOR,Men,10000M,Silver
1964,Innsbruck,Skating,Speed skating,"MUSTONEN, Kaija",FIN,Women,1000M,Bronze
1964,Innsbruck,Skating,Speed skating,"SKOBLIKOVA, Lidiya",URS,Women,1000M,Gold
1964,Innsbruck,Skating,Speed skating,"YEGOROVA, Irina",URS,Women,1000M,Silver
1964,Innsbruck,Skating,Speed skating,"HAUGEN, Villy",NOR,Men,1500M,Bronze
1964,Innsbruck,Skating,Speed skating,"ANTSON, Ants",URS,Men,1500M,Gold
1964,Innsbruck,Skating,Speed skating,"VERKERK, Cornelis",NED,Men,1500M,Silver
1964,Innsbruck,Skating,Speed skating,"KOLOKOLTSEVA, Berta",URS,Women,1500M,Bronze
1964,Innsbruck,Skating,Speed skating,"SKOBLIKOVA, Lidiya",URS,Women,1500M,Gold
1964,Innsbruck,Skating,Speed skating,"MUSTONEN, Kaija",FIN,Women,1500M,Silver
1964,Innsbruck,Skating,Speed skating,"SKOBLIKOVA, Lidiya",URS,Women,3000M,Gold
