Year,City,Sport,Discipline,Athlete,Country,Gender,Event,Medal,Country Name
1948,London,Gymnastics,Artistic G.,"RUZICKA, Zdenek",TCH,Men,Floor Exercises,Bronze,Czechoslovakia- Prior 1992
1948,London,Gymnastics,Artistic G.,"PATAKI, Ferenc",HUN,Men,Floor Exercises,Gold,Hungary
1948,London,Gymnastics,Artistic G.,"MOGYOROSI-KLENCS, Janos",HUN,Men,Floor Exercises,Silver,Hungary
1948,London,Gymnastics,Artistic G.,"MOGYOROSI-KLENCS, Janos",HUN,Men,Vault,Bronze,Hungary
1948,London,Gymnastics,Artistic G.,"PATAKI, Ferenc",HUN,Men,Vault,Bronze,Hungary
1948,London,Gymnastics,Artistic G.,"SOTORNIK, Leo",TCH,Men,Vault,Bronze,Czechoslovakia- Prior 1992
1948,London,Gymnastics,Artistic G.,"AALTONEN, Paavo Johannes",FIN,Men,Vault,Gold,Finland
1948,London,Gymnastics,Artistic G.,"ROVE, Olavi Antero",FIN,Men,Vault,Silver,Finland
1952,Helsinki,Gymnastics,Artistic G.,"THORESSON, William",SWE,Men,Floor Exercises,Gold,Sweden
1952,Helsinki,Gymnastics,Artistic G.,"JOKIEL, Jerzy",POL,Men,Floor Exercises,Silver,Poland
1952,Helsinki,Gymnastics,Artistic G.,"UESAKO, Tadao",JPN,Men,Floor Exercises,Silver,Japan
1952,Helsinki,Gymnastics,Artistic G.,"KORONDI, Margit",HUN,Women,Floor Exercises,Bronze,Hungary
1952,Helsinki,Gymnastics,Artistic G.,"KELETI, Agnes",HUN,Women,Floor Exercises,Gold,Hungary
1952,Helsinki,Gymnastics,Artistic G.,"GOROKHOVSKAYA, Mariya",URS,Women,Floor Exercises,Silver,USSR-Prior 1992
1952,Helsinki,Gymnastics,Artistic G.,"ONO, Takashi",JPN,Men,Vault,Bronze,Japan
1952,Helsinki,Gymnastics,Artistic G.,"UESAKO, Tadao",JPN,Men,Vault,Bronze,Japan
1952,Helsinki,Gymnastics,Artistic G.,"CHUKARIN, Viktor Ivanovich",URS,Men,Vault,Gold,USSR-Prior 1992
1952,Helsinki,Gymnastics,Artistic G.,"TAKEMOTO, Masao",JPN,Men,Vault,Silver,Japan
1952,Helsinki,Gymnastics,Artistic G.,"MINAICHEVA, Galina",URS,Women,Vault,Bronze,USSR-Prior 1992
1952,Helsinki,Gymnastics,Artistic G.,"KALINCHUK, Ekaterina",URS,Women,Vault,Gold,USSR-Prior 1992
1952,Helsinki,Gymnastics,Artistic G.,"GOROKHOVSKAYA, Mariya",URS,Women,Vault,Silver,USSR-Prior 1992
1956,Melbourne / Stockholm,Gymnastics,Artistic G.,"MURATOV, Valentin",URS,Men,Floor Exercises,Gold,USSR-Prior 1992
1956,Melbourne / Stockholm,Gymnastics,Artistic G.,"AIHARA, Nobuyuki",JPN,Men,Floor Exercises,Silver,Japan
1956,Melbourne / Stockholm,Gymnastics,Artistic G.,"CHUKARIN, Viktor Ivanovich",URS,Men,Floor Exercises,Silver,USSR-Prior 1992
1956,Melbourne / Stockholm,Gymnastics,Artistic G.,"THORESSON, William",SWE,Men,Floor Exercises,Silver,Sweden
1956,Melbourne / Stockholm,Gymnastics,Artistic G.,"LEUSTEANU-POPESCU-TEODORESCU, Elena",ROU,Women,Floor Exercises,Bronze,Romania
1956,Melbourne / Stockholm,Gymnastics,Artistic G.,"KELETI, Agnes",HUN,Women,Floor Exercises,Gold,Hungary
1956,Melbourne / Stockholm,Gymnastics,Artistic G.,"LATYNINA, Larisa",URS,Women,Floor Exercises,Gold,USSR-Prior 1992
1956,Melbourne / Stockholm,Gymnastics,Artistic G.,"TITOV, Yuri",URS,Men,Vault,Bronze,USSR-Prior 1992
1956,Melbourne / Stockholm,Gymnastics,Artistic G.,"BANTZ, Helmut",EUA,Men,Vault,Gold,Austria- pre AUT
1956,Melbourne / Stockholm,Gymnastics,Artistic G.,"MURATOV, Valentin",URS,Men,Vault,Gold,USSR-Prior 1992
1956,Melbourne / Stockholm,Gymnastics,Artistic G.,"COLLING-PETTERSSON, Ann-Sofi",SWE,Women,Vault,Bronze,Sweden
1956,Melbourne / Stockholm,Gymnastics,Artistic G.,"TASS LEMHENYI, Olga",HUN,Women,Vault,Bronze,Hungary
1956,Melbourne / Stockholm,Gymnastics,Artistic G.,"LATYNINA, Larisa",URS,Women,Vault,Gold,USSR-Prior 1992
1956,Melbourne / Stockholm,Gymnastics,Artistic G.,"MANINA, Tamara",URS,Women,Vault,Silver,USSR-Prior 1992
1960,Rome,Gymnastics,Artistic G.,"MENICHELLI, Franco",ITA,Men,Floor Exercises,Bronze,Italy
1960,Rome,Gymnastics,Artistic G.,"AIHARA, Nobuyuki",JPN,Men,Floor Exercises,Gold,Japan
1960,Rome,Gymnastics,Artistic G.,"TITOV, Yuri",URS,Men,Floor Exercises,Silver,USSR-Prior 1992
1960,Rome,Gymnastics,Artistic G.,"LYUKHINA-ZAMOTAILOVA, Tamara",URS,Women,Floor Exercises,Bronze,USSR-Prior 1992
1960,Rome,Gymnastics,Artistic G.,"LATYNINA, Larisa",URS,Women,Floor Exercises,Gold,USSR-Prior 1992
1960,Rome,Gymnastics,Artistic G.,"ASTAKHOVA, Polina",URS,Women,Floor Exercises,Silver,USSR-Prior 1992
1960,Rome,Gymnastics,Artistic G.,"PORTNOI, Vladimir",URS,Men,Vault,Bronze,USSR-Prior 1992
1960,Rome,Gymnastics,Artistic G.,"ONO, Takashi",JPN,Men,Vault,Gold,Japan
1960,Rome,Gymnastics,Artistic G.,"SHAKHLIN, Boris",URS,Men,Vault,Gold,USSR-Prior 1992
1960,Rome,Gymnastics,Artistic G.,"LATYNINA, Larisa",URS,Women,Vault,Bronze,USSR-Prior 1992
1960,Rome,Gymnastics,Artistic G.,"NIKOLAEVA, Margarita",URS,Women,Vault,Gold,USSR-Prior 1992
1960,Rome,Gymnastics,Artistic G.,"MURATOVA, Sofiya",URS,Women,Vault,Silver,USSR-Prior 1992
1964,Tokyo,Gymnastics,Artistic G.,"MENICHELLI, Franco",ITA,Men,Floor Exercises,Gold,Italy
1964,Tokyo,Gymnastics,Artistic G.,"ENDO, Yukio",JPN,Men,Floor Exercises,Silver,Japan
